2026-09-11 03:08:52 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_edit_profile[chromium] | layer=ui ====
2026-09-11 03:08:52 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260911_030852_a8477cc1@example.com
2026-09-11 03:08:52 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-11 03:08:52 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-11 03:08:52 | INFO     | cocacola.SignupPage      | Entering first name: Javier
2026-09-11 03:08:52 | INFO     | cocacola.SignupPage      | Entering last name: Harris
2026-09-11 03:08:52 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260911_030852_a8477cc1@example.com
2026-09-11 03:08:52 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-11 03:08:52 | INFO     | cocacola.SignupPage      | Entering zip code: 20730
2026-09-11 03:08:52 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-11 03:08:52 | INFO     | cocacola.ProfilePage     | Clicking Edit profile button
2026-09-11 03:08:52 | INFO     | cocacola.EditProfilePage | Entering first name: UpdAngela
2026-09-11 03:08:52 | INFO     | cocacola.EditProfilePage | Entering zip code: 19724
2026-09-11 03:08:52 | INFO     | cocacola.EditProfilePage | Clicking Save changes button
2026-09-11 03:08:52 | INFO     | cocacola.ProfilePage     | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-11/execution_03-08-32/ui/screenshots/test_profile_update_success__chromium__desktop__gw1__03-08-52-543320.png
2026-09-11 03:08:52 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_edit_profile[chromium] | PASSED ====
