2026-09-14 03:09:23 | INFO     | cocacola.Fixtures            | gw1 | test_edit_profile[firefox] | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_edit_profile[firefox] | layer=ui ====
2026-09-14 03:09:23 | INFO     | cocacola.Fixtures            | gw1 | test_edit_profile[firefox] | Generated test user autotest_user_20260914_030923_4e4bdbe3@example.com
2026-09-14 03:09:23 | INFO     | cocacola.SignupPage          | gw1 | test_edit_profile[firefox] | Navigating to http://127.0.0.1:8765/signup
2026-09-14 03:09:23 | INFO     | cocacola.CookieBanner        | gw1 | test_edit_profile[firefox] | Cookie banner displayed - accepting
2026-09-14 03:09:24 | INFO     | cocacola.SignupPage          | gw1 | test_edit_profile[firefox] | Entering first name: Amy
2026-09-14 03:09:24 | INFO     | cocacola.SignupPage          | gw1 | test_edit_profile[firefox] | Entering last name: Reyes
2026-09-14 03:09:24 | INFO     | cocacola.SignupPage          | gw1 | test_edit_profile[firefox] | Entering email: autotest_user_20260914_030923_4e4bdbe3@example.com
2026-09-14 03:09:24 | INFO     | cocacola.SignupPage          | gw1 | test_edit_profile[firefox] | Entering password: *****
2026-09-14 03:09:24 | INFO     | cocacola.SignupPage          | gw1 | test_edit_profile[firefox] | Entering zip code: 17766
2026-09-14 03:09:24 | INFO     | cocacola.SignupPage          | gw1 | test_edit_profile[firefox] | Clicking Create account button
2026-09-14 03:09:24 | INFO     | cocacola.ProfilePage         | gw1 | test_edit_profile[firefox] | Clicking Edit profile button
2026-09-14 03:09:24 | INFO     | cocacola.EditProfilePage     | gw1 | test_edit_profile[firefox] | Entering first name: UpdMichael
2026-09-14 03:09:24 | INFO     | cocacola.EditProfilePage     | gw1 | test_edit_profile[firefox] | Entering zip code: 94035
2026-09-14 03:09:24 | INFO     | cocacola.EditProfilePage     | gw1 | test_edit_profile[firefox] | Clicking Save changes button
2026-09-14 03:09:24 | INFO     | cocacola.ProfilePage         | gw1 | test_edit_profile[firefox] | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-14/execution_03-09-00/ui/screenshots/test_profile_update_success__firefox__desktop__gw1__03-09-24-759727.png
2026-09-14 03:09:24 | INFO     | cocacola.Fixtures            | gw1 | test_edit_profile[firefox] | ==== TEST END   | test_edit_profile[firefox] | PASSED ====
