2026-09-08 03:08:59 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/auth/test_signup_ui.py::TestSignupUi::test_signup_duplicate_email[firefox] | layer=ui ====
2026-09-08 03:08:59 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260908_030859_1eafdf5e@example.com
2026-09-08 03:08:59 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-08 03:08:59 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-08 03:08:59 | INFO     | cocacola.SignupPage      | Entering first name: Lauren
2026-09-08 03:08:59 | INFO     | cocacola.SignupPage      | Entering last name: Bishop
2026-09-08 03:08:59 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260908_030859_1eafdf5e@example.com
2026-09-08 03:08:59 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-08 03:08:59 | INFO     | cocacola.SignupPage      | Entering zip code: 89651
2026-09-08 03:08:59 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-08 03:08:59 | INFO     | cocacola.ProfilePage     | Clicking Sign out link
2026-09-08 03:09:00 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-08 03:09:02 | INFO     | cocacola.CookieBanner    | Cookie banner not displayed - nothing to do
2026-09-08 03:09:02 | INFO     | cocacola.SignupPage      | Entering first name: Lauren
2026-09-08 03:09:02 | INFO     | cocacola.SignupPage      | Entering last name: Bishop
2026-09-08 03:09:02 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260908_030859_1eafdf5e@example.com
2026-09-08 03:09:02 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-08 03:09:02 | INFO     | cocacola.SignupPage      | Entering zip code: 89651
2026-09-08 03:09:02 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-08 03:09:03 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_signup_duplicate_email[firefox] | PASSED ====
