2026-09-14 03:09:23 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_edit_profile[firefox] | layer=ui ====
2026-09-14 03:09:23 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260914_030923_4e4bdbe3@example.com
2026-09-14 03:09:23 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-14 03:09:23 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-14 03:09:24 | INFO     | cocacola.SignupPage      | Entering first name: Amy
2026-09-14 03:09:24 | INFO     | cocacola.SignupPage      | Entering last name: Reyes
2026-09-14 03:09:24 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260914_030923_4e4bdbe3@example.com
2026-09-14 03:09:24 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-14 03:09:24 | INFO     | cocacola.SignupPage      | Entering zip code: 17766
2026-09-14 03:09:24 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-14 03:09:24 | INFO     | cocacola.ProfilePage     | Clicking Edit profile button
2026-09-14 03:09:24 | INFO     | cocacola.EditProfilePage | Entering first name: UpdMichael
2026-09-14 03:09:24 | INFO     | cocacola.EditProfilePage | Entering zip code: 94035
2026-09-14 03:09:24 | INFO     | cocacola.EditProfilePage | Clicking Save changes button
2026-09-14 03:09:24 | INFO     | cocacola.ProfilePage     | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-14/execution_03-09-00/ui/screenshots/test_profile_update_success__firefox__desktop__gw1__03-09-24-759727.png
2026-09-14 03:09:24 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_edit_profile[firefox] | PASSED ====
