2026-09-24 08:06:36 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_view_profile[firefox] | layer=ui ====
2026-09-24 08:06:37 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260924_080637_e6557554@example.com
2026-09-24 08:06:37 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-24 08:06:37 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-24 08:06:37 | INFO     | cocacola.SignupPage      | Entering first name: Paula
2026-09-24 08:06:37 | INFO     | cocacola.SignupPage      | Entering last name: Day
2026-09-24 08:06:37 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260924_080637_e6557554@example.com
2026-09-24 08:06:37 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-24 08:06:37 | INFO     | cocacola.SignupPage      | Entering zip code: 03983
2026-09-24 08:06:37 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-24 08:06:37 | INFO     | cocacola.ProfilePage     | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-24/execution_08-06-17/ui/screenshots/profile_view__firefox__desktop__gw1__08-06-37-672866.png
2026-09-24 08:06:37 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_view_profile[firefox] | PASSED ====
