2026-09-18 03:08:45 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_edit_profile[chromium] | layer=ui ====
2026-09-18 03:08:45 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260918_030845_0d51c591@example.com
2026-09-18 03:08:45 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-18 03:08:45 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-18 03:08:46 | INFO     | cocacola.SignupPage      | Entering first name: Mariah
2026-09-18 03:08:46 | INFO     | cocacola.SignupPage      | Entering last name: Moore
2026-09-18 03:08:46 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260918_030845_0d51c591@example.com
2026-09-18 03:08:46 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-18 03:08:46 | INFO     | cocacola.SignupPage      | Entering zip code: 13766
2026-09-18 03:08:46 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-18 03:08:46 | INFO     | cocacola.ProfilePage     | Clicking Edit profile button
2026-09-18 03:08:46 | INFO     | cocacola.EditProfilePage | Entering first name: UpdAndrew
2026-09-18 03:08:46 | INFO     | cocacola.EditProfilePage | Entering zip code: 76163
2026-09-18 03:08:46 | INFO     | cocacola.EditProfilePage | Clicking Save changes button
2026-09-18 03:08:46 | INFO     | cocacola.ProfilePage     | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-18/execution_03-08-26/ui/screenshots/test_profile_update_success__chromium__desktop__gw0__03-08-46-428860.png
2026-09-18 03:08:46 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_edit_profile[chromium] | PASSED ====
