2026-09-11 03:08:35 | INFO     | cocacola.Fixtures            | gw1 | test_signup_success[firefox] | ==== TEST START | tests/ui/auth/test_signup_ui.py::TestSignupUi::test_signup_success[firefox] | layer=ui ====
2026-09-11 03:08:36 | INFO     | cocacola.Fixtures            | gw1 | test_signup_success[firefox] | Generated test user autotest_user_20260911_030836_c1e013b0@example.com
2026-09-11 03:08:36 | INFO     | cocacola.SignupPage          | gw1 | test_signup_success[firefox] | Navigating to http://127.0.0.1:8765/signup
2026-09-11 03:08:36 | INFO     | cocacola.CookieBanner        | gw1 | test_signup_success[firefox] | Cookie banner displayed - accepting
2026-09-11 03:08:36 | INFO     | cocacola.SignupPage          | gw1 | test_signup_success[firefox] | Entering first name: Daniel
2026-09-11 03:08:36 | INFO     | cocacola.SignupPage          | gw1 | test_signup_success[firefox] | Entering last name: Jensen
2026-09-11 03:08:36 | INFO     | cocacola.SignupPage          | gw1 | test_signup_success[firefox] | Entering email: autotest_user_20260911_030836_c1e013b0@example.com
2026-09-11 03:08:36 | INFO     | cocacola.SignupPage          | gw1 | test_signup_success[firefox] | Entering password: *****
2026-09-11 03:08:36 | INFO     | cocacola.SignupPage          | gw1 | test_signup_success[firefox] | Entering zip code: 19172
2026-09-11 03:08:36 | INFO     | cocacola.SignupPage          | gw1 | test_signup_success[firefox] | Clicking Create account button
2026-09-11 03:08:36 | INFO     | cocacola.ProfilePage         | gw1 | test_signup_success[firefox] | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-11/execution_03-08-31/ui/screenshots/test_signup_success__firefox__desktop__gw1__03-08-36-813882.png
2026-09-11 03:08:37 | INFO     | cocacola.Fixtures            | gw1 | test_signup_success[firefox] | ==== TEST END   | test_signup_success[firefox] | PASSED ====
