2026-09-21 03:09:03 | INFO     | cocacola.Fixtures            | gw0 | test_edit_profile[firefox] | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_edit_profile[firefox] | layer=ui ====
2026-09-21 03:09:03 | INFO     | cocacola.Fixtures            | gw0 | test_edit_profile[firefox] | Generated test user autotest_user_20260921_030903_771882f3@example.com
2026-09-21 03:09:03 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[firefox] | Navigating to http://127.0.0.1:8765/signup
2026-09-21 03:09:03 | INFO     | cocacola.CookieBanner        | gw0 | test_edit_profile[firefox] | Cookie banner displayed - accepting
2026-09-21 03:09:03 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[firefox] | Entering first name: Alexis
2026-09-21 03:09:03 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[firefox] | Entering last name: Gregory
2026-09-21 03:09:03 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[firefox] | Entering email: autotest_user_20260921_030903_771882f3@example.com
2026-09-21 03:09:03 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[firefox] | Entering password: *****
2026-09-21 03:09:03 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[firefox] | Entering zip code: 23798
2026-09-21 03:09:03 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[firefox] | Clicking Create account button
2026-09-21 03:09:03 | INFO     | cocacola.ProfilePage         | gw0 | test_edit_profile[firefox] | Clicking Edit profile button
2026-09-21 03:09:03 | INFO     | cocacola.EditProfilePage     | gw0 | test_edit_profile[firefox] | Entering first name: UpdDaniel
2026-09-21 03:09:03 | INFO     | cocacola.EditProfilePage     | gw0 | test_edit_profile[firefox] | Entering zip code: 20747
2026-09-21 03:09:03 | INFO     | cocacola.EditProfilePage     | gw0 | test_edit_profile[firefox] | Clicking Save changes button
2026-09-21 03:09:03 | INFO     | cocacola.ProfilePage         | gw0 | test_edit_profile[firefox] | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-21/execution_03-08-41/ui/screenshots/test_profile_update_success__firefox__desktop__gw0__03-09-03-959573.png
2026-09-21 03:09:04 | INFO     | cocacola.Fixtures            | gw0 | test_edit_profile[firefox] | ==== TEST END   | test_edit_profile[firefox] | PASSED ====
