2026-09-22 03:08:41 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/auth/test_signup_ui.py::TestSignupUi::test_signup_success[webkit] | layer=ui ====
2026-09-22 03:08:42 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260922_030842_9c0032f6@example.com
2026-09-22 03:08:42 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-22 03:08:42 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-22 03:08:42 | INFO     | cocacola.SignupPage      | Entering first name: Kelly
2026-09-22 03:08:42 | INFO     | cocacola.SignupPage      | Entering last name: Gibson
2026-09-22 03:08:42 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260922_030842_9c0032f6@example.com
2026-09-22 03:08:42 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-22 03:08:42 | INFO     | cocacola.SignupPage      | Entering zip code: 54283
2026-09-22 03:08:42 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-22 03:08:43 | INFO     | cocacola.ProfilePage     | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-22/execution_03-08-34/ui/screenshots/test_signup_success__webkit__desktop__gw1__03-08-42-858766.png
2026-09-22 03:08:43 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_signup_success[webkit] | PASSED ====
