2026-09-16 03:09:04 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_edit_profile[chromium] | layer=ui ====
2026-09-16 03:09:04 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260916_030904_6985a58e@example.com
2026-09-16 03:09:04 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-16 03:09:04 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-16 03:09:04 | INFO     | cocacola.SignupPage      | Entering first name: Kenneth
2026-09-16 03:09:04 | INFO     | cocacola.SignupPage      | Entering last name: Abbott
2026-09-16 03:09:04 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260916_030904_6985a58e@example.com
2026-09-16 03:09:04 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-16 03:09:04 | INFO     | cocacola.SignupPage      | Entering zip code: 73057
2026-09-16 03:09:04 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-16 03:09:04 | INFO     | cocacola.ProfilePage     | Clicking Edit profile button
2026-09-16 03:09:04 | INFO     | cocacola.EditProfilePage | Entering first name: UpdTheresa
2026-09-16 03:09:04 | INFO     | cocacola.EditProfilePage | Entering zip code: 13460
2026-09-16 03:09:04 | INFO     | cocacola.EditProfilePage | Clicking Save changes button
2026-09-16 03:09:05 | INFO     | cocacola.ProfilePage     | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-16/execution_03-08-46/ui/screenshots/test_profile_update_success__chromium__desktop__gw1__03-09-04-990310.png
2026-09-16 03:09:05 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_edit_profile[chromium] | PASSED ====
