2026-09-24 08:07:39 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/auth/test_signup_ui.py::TestSignupUi::test_signup_duplicate_email[webkit] | layer=ui ====
2026-09-24 08:07:39 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260924_080739_dd864712@example.com
2026-09-24 08:07:39 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-24 08:07:40 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-24 08:07:40 | INFO     | cocacola.SignupPage      | Entering first name: Paige
2026-09-24 08:07:40 | INFO     | cocacola.SignupPage      | Entering last name: Daniels
2026-09-24 08:07:40 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260924_080739_dd864712@example.com
2026-09-24 08:07:40 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-24 08:07:40 | INFO     | cocacola.SignupPage      | Entering zip code: 71148
2026-09-24 08:07:40 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-24 08:07:40 | INFO     | cocacola.ProfilePage     | Clicking Sign out link
2026-09-24 08:07:40 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-24 08:07:43 | INFO     | cocacola.CookieBanner    | Cookie banner not displayed - nothing to do
2026-09-24 08:07:43 | INFO     | cocacola.SignupPage      | Entering first name: Paige
2026-09-24 08:07:43 | INFO     | cocacola.SignupPage      | Entering last name: Daniels
2026-09-24 08:07:43 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260924_080739_dd864712@example.com
2026-09-24 08:07:43 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-24 08:07:43 | INFO     | cocacola.SignupPage      | Entering zip code: 71148
2026-09-24 08:07:43 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-24 08:07:44 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_signup_duplicate_email[webkit] | PASSED ====
