2026-09-18 03:08:41 | INFO     | cocacola.Fixtures            | gw1 | test_view_profile[chromium] | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_view_profile[chromium] | layer=ui ====
2026-09-18 03:08:41 | INFO     | cocacola.Fixtures            | gw1 | test_view_profile[chromium] | Generated test user autotest_user_20260918_030841_ef7742b3@example.com
2026-09-18 03:08:41 | INFO     | cocacola.SignupPage          | gw1 | test_view_profile[chromium] | Navigating to http://127.0.0.1:8765/signup
2026-09-18 03:08:41 | INFO     | cocacola.CookieBanner        | gw1 | test_view_profile[chromium] | Cookie banner displayed - accepting
2026-09-18 03:08:41 | INFO     | cocacola.SignupPage          | gw1 | test_view_profile[chromium] | Entering first name: April
2026-09-18 03:08:41 | INFO     | cocacola.SignupPage          | gw1 | test_view_profile[chromium] | Entering last name: Hall
2026-09-18 03:08:41 | INFO     | cocacola.SignupPage          | gw1 | test_view_profile[chromium] | Entering email: autotest_user_20260918_030841_ef7742b3@example.com
2026-09-18 03:08:41 | INFO     | cocacola.SignupPage          | gw1 | test_view_profile[chromium] | Entering password: *****
2026-09-18 03:08:41 | INFO     | cocacola.SignupPage          | gw1 | test_view_profile[chromium] | Entering zip code: 27855
2026-09-18 03:08:42 | INFO     | cocacola.SignupPage          | gw1 | test_view_profile[chromium] | Clicking Create account button
2026-09-18 03:08:42 | INFO     | cocacola.ProfilePage         | gw1 | test_view_profile[chromium] | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-18/execution_03-08-26/ui/screenshots/profile_view__chromium__desktop__gw1__03-08-42-127341.png
2026-09-18 03:08:42 | INFO     | cocacola.Fixtures            | gw1 | test_view_profile[chromium] | ==== TEST END   | test_view_profile[chromium] | PASSED ====
