2026-09-09 03:09:27 | INFO     | cocacola.Fixtures            | gw1 | test_view_profile[webkit] | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_view_profile[webkit] | layer=ui ====
2026-09-09 03:09:27 | INFO     | cocacola.Fixtures            | gw1 | test_view_profile[webkit] | Generated test user autotest_user_20260909_030927_b0ef6f08@example.com
2026-09-09 03:09:27 | INFO     | cocacola.SignupPage          | gw1 | test_view_profile[webkit] | Navigating to http://127.0.0.1:8765/signup
2026-09-09 03:09:27 | INFO     | cocacola.CookieBanner        | gw1 | test_view_profile[webkit] | Cookie banner displayed - accepting
2026-09-09 03:09:27 | INFO     | cocacola.SignupPage          | gw1 | test_view_profile[webkit] | Entering first name: Kimberly
2026-09-09 03:09:27 | INFO     | cocacola.SignupPage          | gw1 | test_view_profile[webkit] | Entering last name: Evans
2026-09-09 03:09:27 | INFO     | cocacola.SignupPage          | gw1 | test_view_profile[webkit] | Entering email: autotest_user_20260909_030927_b0ef6f08@example.com
2026-09-09 03:09:27 | INFO     | cocacola.SignupPage          | gw1 | test_view_profile[webkit] | Entering password: *****
2026-09-09 03:09:27 | INFO     | cocacola.SignupPage          | gw1 | test_view_profile[webkit] | Entering zip code: 10329
2026-09-09 03:09:27 | INFO     | cocacola.SignupPage          | gw1 | test_view_profile[webkit] | Clicking Create account button
2026-09-09 03:09:28 | INFO     | cocacola.ProfilePage         | gw1 | test_view_profile[webkit] | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-09/execution_03-09-04/ui/screenshots/profile_view__webkit__desktop__gw1__03-09-28-165702.png
2026-09-09 03:09:28 | INFO     | cocacola.Fixtures            | gw1 | test_view_profile[webkit] | ==== TEST END   | test_view_profile[webkit] | PASSED ====
