2026-09-23 08:15:05 | INFO     | cocacola.Fixtures            | gw0 | test_edit_profile[chromium] | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_edit_profile[chromium] | layer=ui ====
2026-09-23 08:15:05 | INFO     | cocacola.Fixtures            | gw0 | test_edit_profile[chromium] | Generated test user autotest_user_20260923_081505_c520f879@example.com
2026-09-23 08:15:05 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[chromium] | Navigating to http://127.0.0.1:8765/signup
2026-09-23 08:15:05 | INFO     | cocacola.CookieBanner        | gw0 | test_edit_profile[chromium] | Cookie banner displayed - accepting
2026-09-23 08:15:05 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[chromium] | Entering first name: Ana
2026-09-23 08:15:05 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[chromium] | Entering last name: Wilson
2026-09-23 08:15:05 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[chromium] | Entering email: autotest_user_20260923_081505_c520f879@example.com
2026-09-23 08:15:05 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[chromium] | Entering password: *****
2026-09-23 08:15:05 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[chromium] | Entering zip code: 67042
2026-09-23 08:15:05 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[chromium] | Clicking Create account button
2026-09-23 08:15:05 | INFO     | cocacola.ProfilePage         | gw0 | test_edit_profile[chromium] | Clicking Edit profile button
2026-09-23 08:15:05 | INFO     | cocacola.EditProfilePage     | gw0 | test_edit_profile[chromium] | Entering first name: UpdNatasha
2026-09-23 08:15:05 | INFO     | cocacola.EditProfilePage     | gw0 | test_edit_profile[chromium] | Entering zip code: 08552
2026-09-23 08:15:05 | INFO     | cocacola.EditProfilePage     | gw0 | test_edit_profile[chromium] | Clicking Save changes button
2026-09-23 08:15:06 | INFO     | cocacola.ProfilePage         | gw0 | test_edit_profile[chromium] | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-23/execution_08-14-45/ui/screenshots/test_profile_update_success__chromium__desktop__gw0__08-15-06-065594.png
2026-09-23 08:15:06 | INFO     | cocacola.Fixtures            | gw0 | test_edit_profile[chromium] | ==== TEST END   | test_edit_profile[chromium] | PASSED ====
