2026-09-24 08:06:23 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/auth/test_signup_ui.py::TestSignupUi::test_signup_duplicate_email[firefox] | layer=ui ====
2026-09-24 08:06:23 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260924_080623_bb7ed9ea@example.com
2026-09-24 08:06:23 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-24 08:06:24 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-24 08:06:24 | INFO     | cocacola.SignupPage      | Entering first name: Miranda
2026-09-24 08:06:24 | INFO     | cocacola.SignupPage      | Entering last name: Price
2026-09-24 08:06:24 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260924_080623_bb7ed9ea@example.com
2026-09-24 08:06:24 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-24 08:06:24 | INFO     | cocacola.SignupPage      | Entering zip code: 63960
2026-09-24 08:06:24 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-24 08:06:24 | INFO     | cocacola.ProfilePage     | Clicking Sign out link
2026-09-24 08:06:24 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-24 08:06:27 | INFO     | cocacola.CookieBanner    | Cookie banner not displayed - nothing to do
2026-09-24 08:06:27 | INFO     | cocacola.SignupPage      | Entering first name: Miranda
2026-09-24 08:06:27 | INFO     | cocacola.SignupPage      | Entering last name: Price
2026-09-24 08:06:27 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260924_080623_bb7ed9ea@example.com
2026-09-24 08:06:27 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-24 08:06:27 | INFO     | cocacola.SignupPage      | Entering zip code: 63960
2026-09-24 08:06:27 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-24 08:06:28 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_signup_duplicate_email[firefox] | PASSED ====
