2026-09-15 03:10:08 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/auth/test_signup_ui.py::TestSignupUi::test_signup_duplicate_email[webkit] | layer=ui ====
2026-09-15 03:10:08 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260915_031008_f1b6423f@example.com
2026-09-15 03:10:08 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-15 03:10:09 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-15 03:10:09 | INFO     | cocacola.SignupPage      | Entering first name: Gregory
2026-09-15 03:10:09 | INFO     | cocacola.SignupPage      | Entering last name: Herrera
2026-09-15 03:10:09 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260915_031008_f1b6423f@example.com
2026-09-15 03:10:09 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-15 03:10:09 | INFO     | cocacola.SignupPage      | Entering zip code: 30614
2026-09-15 03:10:09 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-15 03:10:09 | INFO     | cocacola.ProfilePage     | Clicking Sign out link
2026-09-15 03:10:09 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-15 03:10:12 | INFO     | cocacola.CookieBanner    | Cookie banner not displayed - nothing to do
2026-09-15 03:10:12 | INFO     | cocacola.SignupPage      | Entering first name: Gregory
2026-09-15 03:10:12 | INFO     | cocacola.SignupPage      | Entering last name: Herrera
2026-09-15 03:10:12 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260915_031008_f1b6423f@example.com
2026-09-15 03:10:12 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-15 03:10:12 | INFO     | cocacola.SignupPage      | Entering zip code: 30614
2026-09-15 03:10:12 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-15 03:10:13 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_signup_duplicate_email[webkit] | PASSED ====
