"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Example public API (httpbin)","17","0","","0"
"0","","0","Framework","4","0","Execution management","0"
"0","","0","Authentication API","9","0","Login - negative","0"
"0","","0","Framework","5","0","Test data","0"
"0","","0","Authentication API","4","0","Login","0"
"0","","0","Mocking","6","0","","0"
"0","","0","Framework","13","0","Secret masking","0"
"0","","0","Profile API","3","0","Update profile","0"
"0","","0","Framework","4","0","Browser & device configuration","0"
"0","","0","E2E","1","0","Full flow","0"
"0","","0","Framework","3","0","Logging","0"
"0","","0","Framework","10","0","Environment selection","0"
"0","","0","Home page","9","0","Landing","0"
"0","","0","Framework","3","0","Safety guard","0"
"0","","0","Profile API (mocked)","4","0","","0"
"0","","0","Profile API","3","0","Authorization - negative","0"
"0","","0","Authentication UI","6","0","Signup","0"
"0","","0","Profile UI","9","0","","0"
"0","","0","Framework","3","0","Validators","0"
"0","","0","E2E","1","0","UI update -> API verification","0"
"0","","0","Content API","2","0","List content","0"
"0","","0","Authentication UI","9","0","Login","0"
"0","","0","Profile API","5","0","Boundary values","0"
"0","","0","Schema validation","2","0","","0"
"0","","0","Framework","4","0","Artifact management","0"
"0","","0","Navigation","9","0","","0"
"0","","0","Framework","4","0","API client","0"
"0","","0","Profile API","1","0","Get profile","0"
"0","","0","Authentication UI","3","0","Logout","0"
"0","","0","E2E","2","0","API setup -> UI verification","0"
"0","","0","Framework","4","0","Configuration","0"
"0","","0","Contracts","1","0","","0"
