"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1237","Home page has no console errors on load","tests.ui.content","2026-09-11","passed","2026-09-11","TestHomePage","test_home_page","",""
"","0","test_execution_dir_layout","tests.framework","2026-09-11","passed","2026-09-11","TestExecutionManager","test_execution_and_artifacts","",""
"","780","Signed-in user can sign out","tests.ui.auth","2026-09-11","passed","2026-09-11","TestLogoutUi","test_login_ui","",""
"","6","Profile response matches profile_schema.json","tests.api.schema","2026-09-11","passed","2026-09-11","TestSchemas","test_schema_validation_api","",""
"","3","test_response_validator_chain","tests.framework","2026-09-11","passed","2026-09-11","TestValidators","test_data_and_api_client","",""
"","6","test_response_validator_failure_includes_report","tests.framework","2026-09-11","passed","2026-09-11","TestValidators","test_data_and_api_client","",""
"","318","User can edit first name and zip code","tests.ui.profile","2026-09-11","passed","2026-09-11","TestProfileUi","test_profile_ui","",""
"","3033","Expected header links are present","tests.ui.navigation","2026-09-11","passed","2026-09-11","TestNavigation","test_navigation","",""
"","2","test_prod_blocks_writes_by_default","tests.framework","2026-09-11","passed","2026-09-11","TestEnvironment","test_config","",""
"","3","test_url_env_override","tests.framework","2026-09-11","passed","2026-09-11","TestEnvironment","test_config","",""
"","98","Profile requires authentication","tests.ui.profile","2026-09-11","passed","2026-09-11","TestProfileUi","test_profile_ui","",""
"","4724","Configured pages respond and render a heading","tests.ui.navigation","2026-09-11","passed","2026-09-11","TestNavigation","test_navigation","",""
"","1","test_log_records_are_masked","tests.framework","2026-09-11","passed","2026-09-11","TestLogging","test_logging_and_masking","",""
"","1","test_missing_file_gives_clear_error","tests.framework","2026-09-11","passed","2026-09-11","TestData","test_data_and_api_client","",""
"","164","Profile requires authentication","tests.ui.profile","2026-09-11","passed","2026-09-11","TestProfileUi","test_profile_ui","",""
"","0","test_logger_hierarchy","tests.framework","2026-09-11","passed","2026-09-11","TestLogging","test_logging_and_masking","",""
